Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491944400.0 10.0 NA 110 406 0 NA NA 238 510 0 NA NA 1603 1535 369 NA NA 722 639 375 NA
1491944400.0 10023.0 NA 197 503 90 0 NA 331 671 141 0 NA 710 3592 150 1178 NA 742 4535 264 1200
1491944400.0 10024.0 NA 223 531 91 0 NA 356 692 153 0 NA 544 2631 110 756 NA 378 2437 147 767
1491944400.0 10024.2 NA 212 530 0 NA NA 359 687 0 NA NA 646 2765 951 NA NA 441 2873 959 NA
1491944400.0 10024.4 NA 209 538 0 NA NA 354 695 0 NA NA 574 2463 749 NA NA 445 2297 766 NA
1491944400.0 10024.5 NA 226 320 0 NA NA 328 461 0 NA NA 506 369 312 NA NA 357 321 317 NA
1491944400.0 10024.6 NA 221 526 0 NA NA 333 683 0 NA NA 643 2729 931 NA NA 453 2498 939 NA
1491944400.0 10025.0 NA 203 519 89 0 NA 344 681 141 0 NA 522 2474 103 926 NA 403 2384 128 1522
1491944400.0 10026.0 NA 221 534 98 0 NA 370 689 152 0 NA 629 2651 103 781 NA 396 2357 130 793
1491944400.0 10042.0 NA 201 520 97 0 NA 342 680 154 0 NA 547 2597 140 932 NA 454 2514 180 941
1491944400.0 10224.0 NA 326 779 0 NA NA 506 997 0 NA NA 6354 5453 1058 NA NA 11156 3914 1067 NA
1491944400.0 10225.0 NA 291 730 0 NA NA 479 968 0 NA NA 2972 4884 1009 NA NA 5994 4622 1019 NA
1491944400.0 10424.0 NA 206 527 0 NA NA 354 683 0 NA NA 490 2719 752 NA NA 450 2635 1073 NA
1491944400.0 10823.0 67 194 514 89 0 130 295 667 141 0 1794 531 2425 104 878 1092 407 2403 147 897
1491944400.0 10824.0 80 222 537 101 0 141 333 689 153 0 5500 747 2875 141 959 2455 468 2757 185 970
1491944400.0 10825.0 69 213 527 84 0 135 344 684 142 0 2920 532 2394 99 740 1127 377 2305 183 752
1491944400.0 10826.0 84 199 NA NA NA 143 324 NA NA NA 8800 532 NA NA NA 3098 418 NA NA NA
1491944400.0 10842.0 57 187 509 92 0 119 321 675 153 0 1455 508 2291 161 861 812 649 2285 181 868
1491944400.0 109.0 81 90 394 NA NA 183 216 503 NA NA 7664 408 864 NA NA 2821 267 651 NA NA
1491944400.0 11.0 NA 96 433 0 61 NA 217 541 0 112 NA 1272 734 352 18 NA 451 461 359 92
1491944400.0 11224.0 77 227 533 0 NA 141 344 686 0 NA 4114 616 2840 740 NA 1686 450 2690 760 NA
