Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491987600.0 10024.0 NA 219 536 100 0 NA 341 694 153 0 NA 600 2980 120 987 NA 432 2737 162 1029
1491987600.0 10024.2 NA 221 527 0 NA NA 351 673 0 NA NA 547 2410 868 NA NA 378 2229 879 NA
1491987600.0 10026.0 NA 226 534 100 0 NA 337 695 152 0 NA 661 2847 114 986 NA 447 2567 162 1023
1491987600.0 10042.0 NA 210 521 101 0 NA 341 678 154 0 NA 467 2474 110 884 NA 635 2403 147 891
1491987600.0 10224.0 NA 316 719 0 NA NA 521 1001 0 NA NA 2849 5240 949 NA NA 1804 3592 955 NA
1491987600.0 10225.0 NA 322 738 0 NA NA 485 965 0 NA NA 2548 4640 931 NA NA 1666 3414 940 NA
1491987600.0 10842.0 62 184 513 100 0 119 332 668 153 0 1192 380 2634 130 1012 858 357 2616 437 1025
1491987600.0 11224.0 77 225 537 0 NA 141 340 693 0 NA 4213 597 2622 897 NA 1685 455 2415 903 NA
1491987600.0 1303.0 82 184 192 NA NA 153 321 281 NA NA 6868 577 592 NA NA 2443 405 440 NA NA
1491987600.0 1309.0 NA 211 490 0 NA NA 354 608 0 NA NA 578 857 775 NA NA 378 641 789 NA
1491987600.0 1314.0 NA 205 484 0 NA NA 335 594 0 NA NA 549 799 843 NA NA 530 701 850 NA
1491987600.0 1326.0 NA 195 489 0 NA NA 338 607 0 NA NA 489 727 826 NA NA 399 659 850 NA
1491987600.0 1329.0 NA 204 476 0 NA NA 344 594 0 NA NA 492 817 841 NA NA 599 3014 863 NA
1491987600.0 1338.0 NA 212 486 0 NA NA 356 605 0 NA NA 542 898 763 NA NA 387 705 811 NA
1491987600.0 1339.0 NA 226 501 0 NA NA 330 601 0 NA NA 714 1183 885 NA NA 471 799 920 NA
1491987600.0 134.808 NA 83 427 0 NA NA 174 541 0 NA NA 520 6667 382 NA NA 614 2489 415 NA
1491987600.0 1340.0 NA 196 474 0 NA NA 309 586 0 NA NA 480 721 818 NA NA 398 674 826 NA
1491987600.0 1343.0 NA 217 489 0 NA NA 316 602 0 NA NA 558 886 780 NA NA 414 728 821 NA
1491987600.0 1345.0 NA 207 481 0 NA NA 348 603 0 NA NA 522 881 845 NA NA 609 3942 865 NA
1491987600.0 1347.0 NA 195 484 0 NA NA 336 602 0 NA NA 548 781 851 NA NA 420 681 864 NA
1491987600.0 1349.0 NA 196 491 0 NA NA 340 595 0 NA NA 491 750 806 NA NA 407 680 816 NA
1491987600.0 1355.0 NA 209 478 0 NA NA 337 598 0 NA NA 529 900 849 NA NA 620 3941 868 NA
1491987600.0 1356.0 86 206 499 0 111 151 325 616 0 175 2771 451 701 708 153 1126 341 618 716 159
1491987600.0 136.721 NA 195 431 0 NA NA 309 526 0 NA NA 2353 5347 456 NA NA 905 1919 465 NA
1491987600.0 136.722 NA 189 447 0 NA NA 317 548 0 NA NA 2617 6113 431 NA NA 889 2245 444 NA
1491987600.0 136.727 NA 239 442 0 NA NA 361 565 0 NA NA 2788 5965 436 NA NA 1352 2197 444 NA
1491987600.0 136.728 NA 246 460 0 NA NA 352 560 0 NA NA 6376 6679 444 NA NA 10983 2443 452 NA
1491987600.0 136.732 NA 194 425 0 NA NA 308 524 0 NA NA 1755 4916 479 NA NA 864 1823 528 NA
1491987600.0 136.7321 NA 188 456 0 NA NA 311 550 0 NA NA 1743 5009 491 NA NA 660 1848 504 NA
1491987600.0 136.741 NA 213 460 0 NA NA 332 553 0 NA NA 6519 13409 497 NA NA 1960 4616 507 NA
1491987600.0 136.747 NA 205 444 0 NA NA 324 557 0 NA NA 4797 12199 521 NA NA 1718 4021 547 NA
1491987600.0 136.757 NA 208 448 0 NA NA 326 563 0 NA NA 4754 12327 515 NA NA 1661 4061 538 NA
1491987600.0 136.758 NA 213 454 0 NA NA 332 571 0 NA NA 5638 12126 438 NA NA 1960 3466 464 NA
1491987600.0 136.759 NA 214 473 0 NA NA 343 607 0 NA NA 6556 16669 513 NA NA 1886 4887 521 NA
1491987600.0 136.766 NA 219 475 0 NA NA 343 583 0 NA NA 7738 17558 510 NA NA 2305 5823 518 NA
1491987600.0 136.771 NA 210 442 0 NA NA 319 557 0 NA NA 4181 9561 448 NA NA 1474 3046 474 NA
1491987600.0 136.778 NA 188 428 0 NA NA 301 543 0 NA NA 1911 6420 445 NA NA 728 2169 474 NA
1491987600.0 1360.0 93 199 491 0 NA 216 345 601 0 NA 3716 434 733 721 NA 2134 340 630 745 NA
1491987600.0 1364.0 NA 181 481 0 NA NA 341 590 0 NA NA 465 682 752 NA NA 366 639 789 NA
1491987600.0 13992501.0 NA 305 684 0 NA NA 492 903 0 NA NA 2181 2619 754 NA NA 1457 1301 761 NA
1491987600.0 13992502.0 NA 297 734 0 NA NA 491 943 0 NA NA 2345 2797 756 NA NA 1765 1311 774 NA
1491987600.0 145.0 NA 201 481 0 NA NA 329 605 0 NA NA 1834 1860 144 NA NA 1866 1330 149 NA
1491987600.0 20053.0 70 129 295 0 NA 132 203 378 0 NA 5787 660 841 215 NA 1981 600 492 222 NA
1491987600.0 21253.0 91 306 385 0 NA 155 392 488 0 NA 17374 3122 2248 1595 NA 5341 2231 1975 1608 NA
1491987600.0 23221.0 66 316 367 0 NA 125 389 467 0 NA 8154 3121 2384 1560 NA 2981 2370 1989 1573 NA
1491987600.0 23253.0 127 338 405 0 NA 206 415 512 0 NA 21117 3022 2347 1590 NA 6809 2269 2014 1607 NA
1491987600.0 23646.0 66 123 287 0 NA 128 196 368 0 NA 2679 664 599 257 NA 1226 469 530 271 NA
1491987600.0 24034.0 78 295 387 0 NA 141 392 480 0 NA 12556 3025 2339 1571 NA 4042 2211 2246 1577 NA
1491987600.0 250200.1 88 346 221 NA NA 151 486 319 NA NA 3547 1239 1220 NA NA 1296 711 584 NA NA
1491987600.0 250204.0 NA 382 574 0 NA NA 682 719 0 NA NA 8925 1959 746 NA NA 2970 884 776 NA
1491987600.0 250206.0 NA 379 570 0 NA NA 646 721 0 NA NA 9155 2219 755 NA NA 3391 1008 794 NA
1491987600.0 25200.0 NA 311 672 0 NA NA 493 908 0 NA NA 2437 2440 723 NA NA 1756 1240 730 NA
1491987600.0 25205.0 NA 315 708 0 NA NA 483 913 0 NA NA 2243 2749 783 NA NA 1772 1671 793 NA
1491987600.0 25208.0 NA 330 708 0 NA NA 498 978 0 NA NA 3151 4598 860 NA NA 2630 3092 870 NA
1491987600.0 25211.0 81 302 685 0 NA 212 490 895 0 NA 3463 2125 2480 710 NA 2120 1185 1204 716 NA
1491987600.0 25212.0 80 297 701 0 NA 209 486 895 0 NA 4036 2187 2433 737 NA 2914 1345 1344 745 NA
1491987600.0 25214.0 NA 299 659 0 NA NA 463 894 0 NA NA 2561 3367 849 NA NA 1195 1628 859 NA
1491987600.0 281.0 102 113 431 0 NA 255 231 541 0 NA 2114 342 561 360 NA 1048 257 681 395 NA
1491987600.0 500202.0 NA 192 458 0 NA NA 352 585 0 NA NA 3676 1965 397 NA NA 1621 881 406 NA
1491987600.0 500203.0 NA 190 461 0 NA NA 358 571 0 NA NA 3422 1891 385 NA NA 1493 865 394 NA
1491987600.0 500205.0 NA 189 449 0 NA NA 370 564 0 NA NA 3269 1692 373 NA NA 1488 799 382 NA
1491987600.0 500206.0 NA 188 446 0 NA NA 350 563 0 NA NA 3442 1524 297 NA NA 1479 728 333 NA
1491987600.0 500207.0 NA 180 434 0 NA NA 351 560 0 NA NA 3007 1568 354 NA NA 1434 776 362 NA
1491987600.0 7.2 42 0 0 0 0 100 0 0 0 0 352 251 1974 38 362 647 295 2014 43 368
