Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491944400.0 1303.0 111 212 214 NA NA 175 317 298 NA NA 7524 723 1004 NA NA 2708 579 669 NA NA
1491944400.0 134.701 NA 38 405 0 NA NA 91 501 0 NA NA 113 3360 317 NA NA 140 1784 360 NA
1491944400.0 134.802 NA 43 408 0 NA NA 95 511 0 NA NA 182 5312 320 NA NA 191 2024 327 NA
1491944400.0 134.805 NA 39 421 0 NA NA 96 522 0 NA NA 168 5477 318 NA NA 186 2203 326 NA
1491944400.0 134.807 NA 86 428 0 NA NA 160 550 0 NA NA 687 5895 329 NA NA 3677 2186 336 NA
1491944400.0 134.908 NA 84 409 0 NA NA 160 528 0 NA NA 431 4150 306 NA NA 369 1776 325 NA
1491944400.0 134.99602 NA 46 399 0 NA NA 96 487 0 NA NA 144 3577 318 NA NA 165 2069 364 NA
1491944400.0 136.723 NA 218 443 0 NA NA 314 545 0 NA NA 3015 7564 629 NA NA 1476 4007 638 NA
1491944400.0 136.725 NA 220 447 0 NA NA 319 565 0 NA NA 2968 7599 629 NA NA 1504 3966 638 NA
1491944400.0 136.729 NA 218 440 0 NA NA 307 542 0 NA NA 2861 7722 619 NA NA 1441 4090 628 NA
1491944400.0 136.7321 NA 209 452 0 NA NA 296 557 0 NA NA 1657 5066 584 NA NA 738 2256 599 NA
1491944400.0 1363.0 113 215 461 0 NA 226 316 572 0 NA 4436 540 1557 1074 NA 3191 393 1451 1084 NA
1491944400.0 204.0 85 124 420 0 NA 166 243 531 0 NA 3442 525 942 318 NA 1292 298 522 326 NA
1491944400.0 250200.1 91 346 241 NA NA 168 472 353 NA NA 3755 1197 1365 NA NA 1397 719 853 NA NA
1491944400.0 250202.0 NA 400 565 0 NA NA 579 683 0 NA NA 13841 3740 1053 NA NA 4909 2332 1060 NA
1491944400.0 25211.0 111 303 545 0 NA 223 452 862 0 NA 3523 2663 4522 1112 NA 3046 1437 4197 1135 NA
1491944400.0 25212.0 105 284 517 0 NA 222 446 852 0 NA 3632 2900 4248 1128 NA 3575 1839 3715 1141 NA
1491944400.0 25213.0 104 301 540 0 NA 218 437 872 0 NA 4306 2829 4447 1067 NA 3895 2002 3830 1076 NA
1491944400.0 300.0 138 222 457 0 NA 223 362 549 0 NA 2526 644 553 131 NA 1268 677 566 136 NA
1491944400.0 4.28 NA 71 377 0 NA NA 119 463 0 NA NA 94 1596 622 NA NA 365 1251 635 NA
1491944400.0 4.29 NA 40 366 0 132 NA 84 465 0 199 NA 91 1905 296 479 NA 90 885 305 359
1491944400.0 4.51 NA 42 389 0 NA NA 83 488 0 NA NA 121 4123 287 NA NA 148 1785 294 NA
1491944400.0 4.55 NA 36 385 0 NA NA 82 492 0 NA NA 127 5718 301 NA NA 144 1979 312 NA
1491944400.0 4.68 NA 50 390 0 NA NA 91 479 0 NA NA 116 4644 296 NA NA 137 1920 310 NA
1491944400.0 4.72 NA 41 386 0 NA NA 83 480 0 NA NA 130 4318 307 NA NA 155 1924 321 NA
1491944400.0 500200.1 93 173 243 NA NA 170 262 340 NA NA 3368 578 1272 NA NA 1207 459 769 NA NA
